Rank	Program	Network	Rating	Year						
17	Dharma & Greg	ABC	10.5	1999						
3	Roseanne	ABC	18.1	1990						
8	America's Funniest Home Videos	ABC	16.7	1990						
9	Monday Night Football	ABC	16.6	1990						
13	America's Funniest People	ABC	16.3	1990						
14	Full House	ABC	15.9	1990						
15	Family Matters	ABC	15.8	1990						
18	Coach	ABC	15.3	1990						
19	Who's the Boss?	ABC	15	1990						
24	"Doogie Howser, M.D."	ABC	14.7	1990						
26	Head of the Class	ABC	14.5	1990						
27	Growing Pains	ABC	14.3	1990						
27	Baby Talk	ABC	14.3	1990						
27	Davis Rules	ABC	14.3	1990						
30	The Wonder Years	ABC	14.2	1990						
2	Roseanne	ABC	19.9	1991						
4	Home Improvement	ABC	17.5	1991						
7	Full House	ABC	17	1991						
10	Coach	ABC	16.7	1991						
10	Room for Two	ABC	16.7	1991						
12	Monday Night Football	ABC	16.6	1991						
20	America's Funniest Home Videos	ABC	14.5	1991						
21	20/20	ABC	14.4	1991						
25	America's Funniest People	ABC	13.8	1991						
2	Roseanne	ABC	20.7	1992						
3	Home Improvement	ABC	19.4	1992						
6	Coach	ABC	17.5	1992						
7	Monday Night Football	ABC	16.7	1992						
10	Full House	ABC	15.8	1992						
12	20/20	ABC	15.1	1992						
16	Hanging' with Mr. Cooper	ABC	14.6	1992						
22	Primetime Live	ABC	14.1	1992						
28	ABC Sunday Night Movie	ABC	13.3	1992						
28	Matlock	ABC	13.3	1992						
2	Home Improvement	ABC	20.4	1993						
4	Roseanne	ABC	19.1	1993						
5	Grace Under Fire	ABC	17.7	1993						
6	Coach	ABC	17.4	1993						
8	Monday Night Football	ABC	16.5	1993						
12	Thunder Alley	ABC	15.9	1993						
15	20/20	ABC	14.3	1993						
16	Full House	ABC	14.2	1993						
17	Primetime Live	ABC	14	1993						
18	NYPD Blue	ABC	13.9	1993						
20	Turning Point	ABC	13.8	1993						
27	Phenom	ABC	13.2	1993						
30	ABC Sunday Night Movie	ABC	12.6	1993						
30	Family Matters	ABC	12.6	1993						
3	Home Improvement	ABC	19.5	1994						
4	Grace Under Fire	ABC	18.6	1994						
5	Monday Night Football	ABC	17.7	1994						
7	NYPD Blue	ABC	16.5	1994						
10	Roseanne	ABC	15.5	1994						
13	Ellen	ABC	14.8	1994						
17	20/20	ABC	14	1994						
20	Me and the Boys	ABC	13.1	1994						
23	ABC Sunday Movie	ABC	12.7	1994						
25	Full House	ABC	12.4	1994						
29	ABC Monday Night Movie	ABC	11.7	1994						
29	Primetime Live	ABC	11.7	1994						
5	Monday Night Football	ABC	17.1	1995						
7	Home Improvement	ABC	16.1	1995						
10	NYPD Blue	ABC	14.1	1995						
11	20/20	ABC	13.6	1995						
13	Grace Under Fire	ABC	13.2	1995						
14	Coach	ABC	12.9	1995						
16	Roseanne	ABC	12.5	1995						
18	Primetime Live	ABC	12.3	1995						
24	The Naked Truth	ABC	11.4	1995						
30	The Dana Carvey Show	ABC	11.2	1995						
7	Monday Night Football	ABC	16	1996						
9	Home Improvement	ABC	14	1996						
12	20/20	ABC	12.8	1996						
13	NYPD Blue	ABC	12.5	1996						
15	Primetime Live	ABC	11.9	1996						
17	Spin City	ABC	11.7	1996						
18	The Drew Carey Show	ABC	11.5	1996						
29	Ellen	ABC	10.6	1996						
5	Monday Night Football	ABC	15	1997						
10	Home Improvement	ABC	12	1997						
15	The Drew Carey Show	ABC	11.1	1997						
16	20/20 - Friday	ABC	10.9	1997						
17	NYPD Blue	ABC	10.8	1997						
17	Primetime Live	ABC	10.8	1997						
21	20/20 - Monday	ABC	10	1997						
25	Dharma & Greg	ABC	9.5	1997						
28	Hiller and Diller	ABC	9.3	1997						
4	Monday Night Football	ABC	14.9	1998						
10	Home Improvement	ABC	11	1998						
12	NYPD Blue	ABC	10.5	1998						
14	The Drew Carey Show	ABC	9.9	1998						
16	20/20 - Wednesday	ABC	9.8	1998						
24	Dharma & Greg	ABC	9.3	1998						
25	Spin City	ABC	9.2	1998						
1	Who Wants to Be a Millionaire - Tuesday	ABC	18.6	1999						
2	Who Wants to Be a Millionaire - Thursday	ABC	17.5	1999						
3	Who Wants to Be a Millionaire - Sunday	ABC	17.1	1999						
7	Monday Night Football	ABC	13.5	1999						
9	The Practice	ABC	11.8	1999						
15	NYPD Blue	ABC	10.7	1999						
21	The Drew Carey Show	ABC	9.5	1999						
24	ABC Monday Movie	ABC	9.1	1999						
3	Who Wants to Be a Millionaire - Wednesday	ABC	13.7	2000						
4	Who Wants to Be a Millionaire - Tuesday	ABC	13	2000						
5	Monday Night Football	ABC	12.6	2000						
8	Who Wants to Be a Millionaire - Sunday	ABC	12.4	2000						
10	The Practice	ABC	11.7	2000						
11	Who Wants to Be a Millionaire - Thursday	ABC	11.6	2000						
19	Who Wants to Be a Millionaire - Friday	ABC	10.5	2000						
22	NYPD Blue	ABC	9.7	2000						
7	Monday Night Football	ABC	11.5	2001						
23	The Practice	ABC	8.3	2001						
23	NYPD Blue	ABC	8.3	2001						
10	Monday Night Football	ABC	11.4	2002						
16	The Bachelor/The Bachelorette	ABC	9.9	2002						
29	NYPD Blue	ABC	7.8	2002						
9	Monday Night Football	ABC	11.2	2003						
21	The Bachelor/The Bachelorette	ABC	8.3	2003						
4	Desperate Housewives	ABC	14.5	2004						
8	Grey's Anatomy	ABC	11.6	2004						
10	Monday Night Football	ABC	10.8	2004						
13	Lost	ABC	9.8	2004						
18	Extreme Makeover: Home Edition	ABC	9.1	2004						
24	Boston Legal	ABC	8.1	2004						
4	Desperate Housewives	ABC	13.8	2005						
5	Grey's Anatomy	ABC	12.5	2005						
7	Dancing with the Stars	ABC	12	2005						
9	Monday Night Football	ABC	10.6	2005						
15	Dancing with the Stars - Results	ABC	9.6	2005						
18	Lost	ABC	9.2	2005						
23	Extreme Makeover: Home Edition	ABC	8.6	2005						
24	Commander in Chief	ABC	8.4	2005						
3	Dancing with the Stars - Monday	ABC	12.7	2006						
3	Dancing with the Stars - Tuesday	ABC	12.7	2006						
3	Dancing with the Stars - Wednesday	ABC	12.7	2006						
7	Grey's Anatomy	ABC	12.1	2006						
9	Desperate Housewives	ABC	10.8	2006						
22	Lost	ABC	8.3	2006						
26	Extreme Makeover: Home Edition	ABC	7.7	2006						
27	Ugly Betty	ABC	7.4	2006						
27	ER	ABC	7.4	2006						
27	24	ABC	7.4	2006						
30	Brothers & Sisters	ABC	7.3	2006						
3	Dancing with the Stars - Monday	ABC	14	2007						
4	Dancing with the Stars - Tuesday	ABC	12.6	2007						
5	Dancing with the Stars - Wednesday	ABC	12.3	2007						
6	Desperate Housewives	ABC	11.6	2007						
9	Grey's Anatomy	ABC	10.4	2007						
19	Samantha Who?	ABC	8	2007						
20	Lost	ABC	7.9	2007						
21	Extreme Makeover: Home Edition	ABC	7.8	2007						
22	Brothers & Sisters	ABC	7.6	2007						
22	CSI: NY	ABC	7.6	2007						
22	Heroes	ABC	7.6	2007						
26	Private Practice	ABC	7.3	2007						
3	Dancing with the Stars - Monday	ABC	12.9	2008						
7	Dancing with the Stars - Tuesday	ABC	10.7	2008						
9	Desperate Housewives	ABC	9.9	2008						
10	Grey's Anatomy	ABC	9.6	2008						
20	The Bachelor	ABC	7.5	2008						
23	Brothers & Sisters	ABC	7.2	2008						
25	Castle	ABC	6.9	2008						
29	Lost	ABC	6.6	2008						
3	Dancing with the Stars	ABC	12.6	2009						
7	Dancing with the Stars - Results	ABC	9.9	2009						
