"Program","Network","Rank","Rating","Year"
"Dharma & Greg","ABC",17,10.5,1999
"Roseanne","ABC",3,18.1,1990
"America's Funniest Home Videos","ABC",8,16.7,1990
"Monday Night Football","ABC",9,16.6,1990
"America's Funniest People","ABC",13,16.3,1990
"Full House","ABC",14,15.9,1990
"Family Matters","ABC",15,15.8,1990
"Coach","ABC",18,15.3,1990
"Who's the Boss?","ABC",19,15,1990
"Doogie Howser, M.D.","ABC",24,14.7,1990
"Head of the Class","ABC",26,14.5,1990
"Growing Pains","ABC",27,14.3,1990
"Baby Talk","ABC",27,14.3,1990
"Davis Rules","ABC",27,14.3,1990
"The Wonder Years","ABC",30,14.2,1990
"Roseanne","ABC",2,19.9,1991
"Home Improvement","ABC",4,17.5,1991
"Full House","ABC",7,17,1991
"Coach","ABC",10,16.7,1991
"Room for Two","ABC",10,16.7,1991
"Monday Night Football","ABC",12,16.6,1991
"America's Funniest Home Videos","ABC",20,14.5,1991
"20/20","ABC",21,14.4,1991
"America's Funniest People","ABC",25,13.8,1991
"Roseanne","ABC",2,20.7,1992
"Home Improvement","ABC",3,19.4,1992
"Coach","ABC",6,17.5,1992
"Monday Night Football","ABC",7,16.7,1992
"Full House","ABC",10,15.8,1992
"20/20","ABC",12,15.1,1992
"Hanging' with Mr. Cooper","ABC",16,14.6,1992
"Primetime Live","ABC",22,14.1,1992
"ABC Sunday Night Movie","ABC",28,13.3,1992
"Matlock","ABC",28,13.3,1992
"Home Improvement","ABC",2,20.4,1993
"Roseanne","ABC",4,19.1,1993
"Grace Under Fire","ABC",5,17.7,1993
"Coach","ABC",6,17.4,1993
"Monday Night Football","ABC",8,16.5,1993
"Thunder Alley","ABC",12,15.9,1993
"20/20","ABC",15,14.3,1993
"Full House","ABC",16,14.2,1993
"Primetime Live","ABC",17,14,1993
"NYPD Blue","ABC",18,13.9,1993
"Turning Point","ABC",20,13.8,1993
"Phenom","ABC",27,13.2,1993
"ABC Sunday Night Movie","ABC",30,12.6,1993
"Family Matters","ABC",30,12.6,1993
"Home Improvement","ABC",3,19.5,1994
"Grace Under Fire","ABC",4,18.6,1994
"Monday Night Football","ABC",5,17.7,1994
"NYPD Blue","ABC",7,16.5,1994
"Roseanne","ABC",10,15.5,1994
"Ellen","ABC",13,14.8,1994
"20/20","ABC",17,14,1994
