"Date","year_day","Rank","Births"
2017-01-01,1,365,7792
2017-01-02,2,362,9307
2017-01-03,3,306,10813
2017-01-04,4,209,11019
2017-01-05,5,237,10953
2017-01-06,6,259,10911
2017-01-07,7,255,10925
2017-01-08,8,343,10610
2017-01-09,9,340,10624
2017-01-10,10,207,11023
2017-01-11,11,230,10975
2017-01-12,12,248,10934
2017-01-13,13,342,10622
2017-01-14,14,228,10976
2017-01-15,15,346,10546
2017-01-16,16,341,10623
2017-01-17,17,264,10901
2017-01-18,18,278,10883
2017-01-19,19,332,10691
2017-01-20,20,301,10825
2017-01-21,21,302,10824
2017-01-22,22,334,10673
2017-01-23,23,285,10865
2017-01-24,24,199,11049
2017-01-25,25,240,10951
2017-01-26,26,295,10843
2017-01-27,27,303,10823
2017-01-28,28,297,10835
2017-01-29,29,345,10567
2017-01-30,30,318,10752
2017-01-31,31,278,10883
2017-02-01,32,251,10929
2017-02-02,33,242,10949
2017-02-03,34,295,10843
2017-02-04,35,261,10905
2017-02-05,36,333,10685
2017-02-06,37,311,10794
2017-02-07,38,164,11149
2017-02-08,39,195,11063
2017-02-09,40,272,10893
2017-02-10,41,211,11015
2017-02-11,42,211,11015
2017-02-12,43,269,10898
2017-02-13,44,344,10604
2017-02-14,45,63,11636
2017-02-15,46,150,11188
2017-02-16,47,244,10948
2017-02-17,48,291,10854
2017-02-18,49,246,10940
2017-02-19,50,334,10673
2017-02-20,51,277,10886
2017-02-21,52,216,11008
2017-02-22,53,182,11111
2017-02-23,54,253,10927
2017-02-24,55,262,10904
2017-02-25,56,231,10974
2017-02-26,57,325,10727
2017-02-27,58,288,10858
2017-02-28,59,198,11053
2017-03-01,60,174,11129
2017-03-02,61,309,10802
2017-03-03,62,190,11074
2017-03-04,63,225,10989
2017-03-05,64,227,10979
2017-03-06,65,256,10921
2017-03-07,66,184,11087
2017-03-08,67,228,10976
2017-03-09,68,316,10765
2017-03-10,69,246,10940
2017-03-11,70,249,10931
2017-03-12,71,219,11003
2017-03-13,72,338,10654
2017-03-14,73,178,11119
2017-03-15,74,215,11011
2017-03-16,75,314,10773
2017-03-17,76,169,11137
2017-03-18,77,236,10954
2017-03-19,78,258,10914
2017-03-20,79,219,11003
2017-03-21,80,153,11181
2017-03-22,81,233,10967
2017-03-23,82,322,10739
2017-03-24,83,256,10921
2017-03-25,84,231,10974
2017-03-26,85,276,10888
2017-03-27,86,271,10895
2017-03-28,87,201,11045
2017-03-29,88,284,10873
2017-03-30,89,328,10714
2017-03-31,90,313,10779
2017-04-01,91,353,10300
2017-04-02,92,217,11004
2017-04-03,93,267,10899
2017-04-04,94,144,11219
2017-04-05,95,266,10900
2017-04-06,96,339,10639
2017-04-07,97,287,10859
2017-04-08,98,275,10890
2017-04-09,99,298,10830
2017-04-10,100,300,10826
2017-04-11,101,196,11059
2017-04-12,102,237,10953
2017-04-13,103,351,10389
2017-04-14,104,307,10812
2017-04-15,105,278,10883
2017-04-16,106,260,10909
2017-04-17,107,270,10897
2017-04-18,108,217,11004
2017-04-19,109,274,10891
2017-04-20,110,328,10714
2017-04-21,111,304,10817
2017-04-22,112,283,10877
2017-04-23,113,286,10864
2017-04-24,114,294,10845
2017-04-25,115,224,10996
2017-04-26,116,282,10882
2017-04-27,117,336,10664
2017-04-28,118,308,10803
2017-04-29,119,323,10735
2017-04-30,120,324,10731
2017-05-01,121,221,11002
2017-05-02,122,181,11113
2017-05-03,123,263,10903
2017-05-04,124,327,10717
2017-05-05,125,191,11073
2017-05-06,126,242,10949
2017-05-07,127,245,10945
2017-05-08,128,235,10955
2017-05-09,129,203,11040
2017-05-10,130,192,11071
2017-05-11,131,319,10744
2017-05-12,132,210,11016
2017-05-13,133,330,10697
2017-05-14,134,193,11070
2017-05-15,135,162,11157
2017-05-16,136,127,11283
2017-05-17,137,177,11122
2017-05-18,138,267,10899
2017-05-19,139,223,10999
2017-05-20,140,147,11193
2017-05-21,141,135,11254
2017-05-22,142,125,11288
2017-05-23,143,89,11525
2017-05-24,144,109,11367
2017-05-25,145,299,10827
2017-05-26,146,349,10401
2017-05-27,147,331,10693
2017-05-28,148,310,10797
2017-05-29,149,312,10782
2017-05-30,150,264,10901
2017-05-31,151,326,10719
2017-06-01,152,158,11164
2017-06-02,153,113,11345
2017-06-03,154,133,11256
2017-06-04,155,143,11221
2017-06-05,156,158,11164
2017-06-06,157,139,11240
2017-06-07,158,160,11160
2017-06-08,159,206,11025
2017-06-09,160,185,11083
2017-06-10,161,142,11222
2017-06-11,162,160,11160
2017-06-12,163,146,11196
2017-06-13,164,202,11041
2017-06-14,165,125,11288
2017-06-15,166,188,11078
2017-06-16,167,131,11265
2017-06-17,168,136,11253
2017-06-18,169,114,11339
2017-06-19,170,156,11176
2017-06-20,171,92,11502
2017-06-21,172,122,11298
2017-06-22,173,172,11130
2017-06-23,174,138,11244
2017-06-24,175,117,11328
2017-06-25,176,105,11406
2017-06-26,177,108,11374
2017-06-27,178,71,11590
2017-06-28,179,82,11557
2017-06-29,180,111,11351
2017-06-30,181,87,11547
2017-07-01,182,27,11860
2017-07-02,183,30,11828
2017-07-03,184,121,11304
2017-07-04,185,363,8796
2017-07-05,186,348,10404
2017-07-06,187,96,11487
2017-07-07,188,6,12108
2017-07-08,189,18,11944
2017-07-09,190,40,11769
2017-07-10,191,45,11738
2017-07-11,192,35,11794
2017-07-12,193,81,11565
2017-07-13,194,153,11181
2017-07-14,195,54,11680
2017-07-15,196,43,11754
2017-07-16,197,41,11768
2017-07-17,198,49,11718
2017-07-18,199,38,11772
