Title,Paragraph,Text
Up In The Gallery,1,"If some frail tubercular lady circus rider were to be driven in circles around and around the arena for months and months without interruption in front of a tireless public on a swaying horse by a merciless whip-wielding master of ceremonies, spinning on the horse, throwing kisses and swaying at the waist, and if this performance, amid the incessant roar of the orchestra and the ventilators, were to continue into the ever-expanding, gray future, accompanied by applause, which died down and then swelled up again, from hands which were really steam hammers, perhaps then a young visitor to the gallery might rush down the long stair case through all the levels, burst into the ring, and cry “Stop!” through the fanfares of the constantly adjusting orchestra."
Up In The Gallery,2,"But since things are not like that—since a beautiful woman, in white and red, flies in through curtains which proud men in livery open in front of her, since the director, devotedly seeking her eyes, breathes in her direction, behaving like an animal, and, as a precaution, lifts her up on the dapple-gray horse, as if she were his grand daughter, the one he loved more than anything else, as she starts a dangerous journey, but he cannot decide to give the signal with his whip and finally, controlling himself, gives it a crack, runs right beside the horse with his mouth open, follows the rider’s leaps with a sharp gaze, hardly capable of comprehending her skill, tries to warn her by calling out in English, furiously castigating the grooms holding hoops, telling them to pay the most scrupulous attention, and begs the orchestra, with upraised arms, to be quiet before the great jump, finally lifts the small woman down from the trembling horse, kisses her on both cheeks, considers no public tribute adequate, while she herself, leaning on him, high on the tips of her toes, with dust swirling around her, arms outstretched and head thrown back, wants to share her luck with the entire circus—since this is how things are, the visitor to the gallery puts his face on the railing and, sinking into the final march as if into a difficult dream, weeps, without realizing it."
Before the Law,1,"Before the law sits a gatekeeper. To this gatekeeper comes a man from the country who asks to gain entry into the law. But the gatekeeper says that he cannot grant him entry at the moment. The man thinks about it and then asks if he will be allowed to come in later on. “It is possible,” says the gatekeeper, “but not now.” At the moment the gate to the law stands open, as always, and the gatekeeper walks to the side, so the man bends over in order to see through the gate into the inside. When the gatekeeper notices that, he laughs and says: “If it tempts you so much, try it in spite of my prohibition. But take note: I am powerful. And I am only the most lowly gatekeeper. But from room to room stand gatekeepers, each more powerful than the other. I can’t endure even one glimpse of the third.” The man from the country has not expected such difficulties: the law should always be accessible for everyone, he thinks, but as he now looks more closely at the gatekeeper in his fur coat, at his large pointed nose and his long, thin, black Tartar’s beard, he decides that it would be better to wait until he gets permission to go inside. The gatekeeper gives him a stool and allows him to sit down at the side in front of the gate. There he sits for days and years. He makes many attempts to be let in, and he wears the gatekeeper out with his requests. The gatekeeper often interrogates him briefly, questioning him about his homeland and many other things, but they are indifferent questions, the kind great men put, and at the end he always tells him once more that he cannot let him inside yet. The man, who has equipped himself with many things for his journey, spends everything, no matter how valuable, to win over the gatekeeper. The latter takes it all but, as he does so, says, “I am taking this only so that you do not think you have failed to do anything.” During the many years the man observes the gatekeeper almost continuously. He forgets the other gatekeepers, and this one seems to him the only obstacle for entry into the law. He curses the unlucky circumstance, in the first years thoughtlessly and out loud, later, as he grows old, he still mumbles to himself. He becomes childish and, since in the long years studying the gatekeeper he has come to know the fleas in his fur collar, he even asks the fleas to help him persuade the gatekeeper. Finally his eyesight grows weak, and he does not know whether things are really darker around him or whether his eyes are merely deceiving him. But he recognizes now in the darkness an illumination which breaks inextinguishably out of the gateway to the law. Now he no longer has much time to live. Before his death he gathers in his head all his experiences of the entire time up into one question which he has not yet put to the gatekeeper. He waves to him, since he can no longer lift up his stiffening body."
Before the Law,2,"The gatekeeper has to bend way down to him, for the great difference has changed things to the disadvantage of the man. “What do you still want to know, then?” asks the gatekeeper. “You are insatiable.” “Everyone strives after the law,” says the man, “so how is that in these many years no one except me has requested entry?” The gatekeeper sees that the man is already dying and, in order to reach his diminishing sense of hearing, he shouts at him, “Here no one else can gain entry, since this entrance was assigned only to you. I’m going now to close it."
An Imperial Message,1,"The Emperor—so they say—has sent a message, directly from his death bed, to you alone, his pathetic subject, a tiny shadow which has taken refuge at the furthest distance from the imperial sun. He ordered the herald to kneel down beside his bed and whispered the message in his ear. He thought it was so important that he had the herald speak it back to him. He confirmed the accuracy of verbal message by nodding his head. And in front of the entire crowd of those witnessing his death—all the obstructing walls have been broken down, and all the great ones of his empire are standing in a circle on the broad and high soaring flights of stairs—in front of all of them he dispatched his herald. The messenger started off at once, a powerful, tireless man. Sticking one arm out and then another, he makes his way through the crowd. If he runs into resistance, he points to his breast where there is a sign of the sun. So he moves forwards easily, unlike anyone else. But the crowd is so huge; its dwelling places are infinite. If there were an open field, how he would fly along, and soon you would hear the marvellous pounding of his fist on your door. But instead of that, how futile are all his efforts. He is still forcing his way through the private rooms of the innermost palace. Never will he win his way through. And if he did manage that, nothing would have been achieved. He would have to fight his way down the steps, and, if he managed to do that, nothing would have been achieved. He would have to stride through the courtyards, and after the courtyards through the second palace encircling the first, and, then again, through stairs and courtyards, and then, once again, a palace, and so on for thousands of years. And if he finally burst through the outermost door—but that can never, never happen—the royal capital city, the centre of the world, is still there in front of him, piled high and full of sediment. No one pushes his way through here, certainly not someone with a message from a dead man. But you sit at your window and dream of that message when evening comes."
On The Tram,1,"I stand on the end platform of the tram and am completely unsure of my footing in this world, in this town, in my family. Not even casually could I indicate any claims that I might rightly advance in any direction. I have not even any defense to offer for standing on this platform, holding on to this strap, letting myself be carried along by this tram, nor for the people who give way to the tram or walk quietly along or stand gazing into shopwindows. Nobody asks me to put up a defense, indeed, but that is irrelevant."
On The Tram,2,"The tram approaches a stopping place and a girl takes up her position near the step, ready to alight. She is as distinct to me as if I had run my hands over her. She is dressed in black, the pleats of her skirt hang almost still, her blouse is tight and has a collar of white fine-meshed lace, her left hand is braced flat against the side of the tram, the umbrella in her right hand rests on the second top step. Her face is brown, her nose, slightly pinched at the sides, has a broad round tip. She has a lot of brown hair and stray little tendrils on the right temple. Her small ear is close-set, but since I am near her I can see the whole ridge of the whorl of her right ear and the shadow at the root of it."
On The Tram,3,"At that point I asked myself: How is it that she is not amazed at herself, that she keeps her lips closed and makes no such remark?"
The Sudden Walk,1,"When it looks as if you had made up your mind finally to stay at home for the evening, when you have put on your house jacket and sat down after supper with a light on the table to the piece of work or the game that usually precedes your going to bed, when the weather outside is unpleasant so that staying indoors seems natural, and when you have already been sitting quietly at the table for so long that your departure must occasion surprise to everyone, when, besides, the stairs are in darkness and the front door locked, and in spite of all that you have started up in a sudden fit of restlessness, changed your jacket, abruptly dressed yourself for the street, explained that you must go out and with a few curt words of leave-taking actually gone out, banging the flat door more or less hastily according to the degree of displeasure you think you have left behind you, and when you find yourself once more in the street with limbs swinging extra freely in answer to the unexpected liberty you have procured for them, when as a result of this decisive action you feel concentrated within yourself all the potentialities of decisive action, when you recognize with more than usual significance that your strength is greater than your need to accomplish effortlessly the swiftest of changes and to cope with it, when in this frame of mind you go striding down the long streets - then for that evening you have completely got away from your family, which fades into insubstantiality, while you yourself, a firm, boldly drawn black figure, slapping yourself on the thigh, grow to your true stature."
The Sudden Walk,2,All this is still heightened if at such a late hour in the evening you look up a friend to see how he is getting on.
