"artist_name","track_name","album_name","danceability","track_number","lyric"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Zaytoven"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Big time"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"A-Town"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Double down"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Yeah yeah"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"'Til you been driving me crazy, 'til you been driving me crazy"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Who you been texting daily, who you been texting daily"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You know I don't do fugazi, you know I don't do fugazi"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"(Mhm, yeah, you know I don't do fugazi)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I hope you ain't lettin' him hit it, I hope you ain't lettin' him hit it"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I hope you staying ambitious, I hope you being committed"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Perpetrating them feelings, but that ain't the way you get it(That ain't the way, that ain't the way)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You got too much cash be cautious"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Never would admit you were starstruck"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Thought about putting you in the Lambo truck"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Thought about pulling up the Range truck"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Turn up the vibes in the main coast"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"So much drip need a raincoat"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"From Mexico to Tokyo"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Hotel suite like a fashion show"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Jameson is for the answers"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I'll kill a nigga like cancer"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Put on more rings than Cassius"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Popping champagne out in Paris"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Water my team, do better karats"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"No time to scheme, we livin' lavish"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Hard to believe, how much karats"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"What I been through, you can't imagine"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Turn up the juice, walk through the water"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Bright berry booze, yeah"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Soon as you seen me, started recording"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Got something to prove"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Saving my texts, screenshots"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Breaking the rules"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You can't be jealous"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"A whole lot of bitches that hang with the crew"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Oh-oh-oh"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Only if you knew, then you know, and you know"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Money fast, money fast, never slow"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"No need to boast, having a toast, doing the most"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Wanna ride in the Ghost? (Wanna ride in the Ghost?)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Wanna feel like you're floatin'? (Wanna feel like you're floatin'?)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Phantom look like a boat (Phantom look like a boat)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Five karats my rope (Five karats my rope)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Look like I sell dope (Look like I sell dope)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Put some fur on my coat (Put some fur on my coat)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"And them diamonds the choke (And them diamonds the choke)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Like I'm playing with that coke (Like I'm playin' with that coke)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was playing with they hoes"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Some friends some foes"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Hunnid M's my bank account"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Had to set some new goals"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was dripping the water out"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"That would leave a bitch cold (That would leave a bitch cold)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Had to call up the fire department"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was burning up dope (Burning up dope)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was getting my money right"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Then I went Pluto (Then I went Pluto)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"And it could've been perfect timing"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was already on (I was already on)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Tell me you haven't been lying"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"'Cause I don't condone it ('Cause I don't condone)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You got a rock, started to keep your ass at home (Keep your ass at home)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Tell you been driving me crazy, tell you been driving me crazy"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Who you been texting daily, who you been texting daily"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You know I don't do fugazi, you know I don't do fugazi"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"(Neck, wrist, finger, you know I don't do fugazi)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Hope you ain't lettin' him hit it, hope you ain't lettin' him hit it"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I hope you staying ambitious, I hope you being committed"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Perpetrating them feelings, but that ain't the way you get it"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"(The way you get it, that ain't the way)"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was dripping the water out"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"That would leave a bitch cold"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Had to call up the fire department"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was burning up dope"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was getting my money right"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Then I went Pluto"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Couldn't have been more perfect timing"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"I was already on"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Tell me you haven't been lying"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"'Cause I don't condone"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"You got a rock, starting to keep your ass at home"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Oh, oh"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Keep your ass at home"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Need to stay at home"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Stay at home, yeah"
"Usher","Stay At Home (feat. Future)","""A""",0.816,1,"Yeah"
"Usher","ATA","""A""",0.717,2,"(Zaytoven!)"
"Usher","ATA","""A""",0.717,2,"Big time, yeah"
"Usher","ATA","""A""",0.717,2,"(A, A, A, A)"
"Usher","ATA","""A""",0.717,2,"A Town, forever down"
"Usher","ATA","""A""",0.717,2,"(A, A, A, A, A, A, A, A, ooh)"
"Usher","ATA","""A""",0.717,2,"I just wanna see you in Ibiza"
"Usher","ATA","""A""",0.717,2,"We can meet up, let it heat up"
"Usher","ATA","""A""",0.717,2,"Blow the trees up, kick your feet up"
"Usher","ATA","""A""",0.717,2,"L-l-lay-lay, l-l-lay-lay-lay (Lay-lay-lay-lay-lay)"
"Usher","ATA","""A""",0.717,2,"L-l-lay-lay, l-l-lay-lay-lay (Lay-lay-lay-lay-lay)"
"Usher","ATA","""A""",0.717,2,"You can bring your girls, you can leave 'em"
"Usher","ATA","""A""",0.717,2,"You forget your man, that's amnesia"
"Usher","ATA","""A""",0.717,2,"You can slide on 'em, kick your feet up"
"Usher","ATA","""A""",0.717,2,"L-l-lay-lay, l-l-lay-lay-lay (Lay-lay-lay-lay-lay)"
"Usher","ATA","""A""",0.717,2,"L-l-lay-lay, l-l-lay-lay-lay (Lay-lay-lay-lay-lay)"
"Usher","ATA","""A""",0.717,2,"Booty got me inspired"
"Usher","ATA","""A""",0.717,2,"Move that thing to the side, yeah"
"Usher","ATA","""A""",0.717,2,"We ain't ever gettin' tired, no"
"Usher","ATA","""A""",0.717,2,"I know you love it when you tied up"
"Usher","ATA","""A""",0.717,2,"Where we goin'? Got a flight (Flight)"
"Usher","ATA","""A""",0.717,2,"You ever seen a G-5? (Yeah)"
"Usher","ATA","""A""",0.717,2,"'Cause I'm a G type of guy, yeah"
"Usher","ATA","""A""",0.717,2,"That's a whole different vibe, yeah"
"Usher","ATA","""A""",0.717,2,"I don't do this on occasion (Yeah), this my every day shit"
"Usher","ATA","""A""",0.717,2,"Put your ass through college, give me brain, education"
