"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","the 1","folklore",0.777,"I'm doing good, I'm on some new shit"
"Taylor Swift","the 1","folklore",0.777,"Been saying ""yes"" instead of ""no""I thought I saw you at the bus stop, I didn't though"
"Taylor Swift","the 1","folklore",0.777,"I hit the ground running each night"
"Taylor Swift","the 1","folklore",0.777,"I hit the Sunday matinée"
"Taylor Swift","the 1","folklore",0.777,"You know the greatest films of all time were never made"
"Taylor Swift","the 1","folklore",0.777,"I guess you never know, never know"
"Taylor Swift","the 1","folklore",0.777,"And if you wanted me, you really should've showed"
"Taylor Swift","the 1","folklore",0.777,"And if you never bleed, you're never gonna grow"
"Taylor Swift","the 1","folklore",0.777,"And it's alright now"
"Taylor Swift","the 1","folklore",0.777,"But we were something, don't you think so?"
"Taylor Swift","the 1","folklore",0.777,"Roaring twenties, tossing pennies in the pool"
"Taylor Swift","the 1","folklore",0.777,"And if my wishes came true"
"Taylor Swift","the 1","folklore",0.777,"It would've been you"
"Taylor Swift","the 1","folklore",0.777,"In my defense, I have none"
"Taylor Swift","the 1","folklore",0.777,"For never leaving well enough alone"
"Taylor Swift","the 1","folklore",0.777,"But it would've been fun"
"Taylor Swift","the 1","folklore",0.777,"If you would've been the one"
"Taylor Swift","the 1","folklore",0.777,"(Ooh)"
"Taylor Swift","the 1","folklore",0.777,"I have this dream you're doing cool shit"
"Taylor Swift","the 1","folklore",0.777,"Having adventures on your own"
"Taylor Swift","the 1","folklore",0.777,"You meet some woman on the internet and take her home"
"Taylor Swift","the 1","folklore",0.777,"We never painted by the numbers, baby"
"Taylor Swift","the 1","folklore",0.777,"But we were making it count"
"Taylor Swift","the 1","folklore",0.777,"You know the greatest loves of all time are over now"
"Taylor Swift","the 1","folklore",0.777,"I guess you never know, never know"
"Taylor Swift","the 1","folklore",0.777,"And it's another day waking up alone"
"Taylor Swift","the 1","folklore",0.777,"But we were something, don't you think so?"
"Taylor Swift","the 1","folklore",0.777,"Roaring twenties, tossing pennies in the pool"
"Taylor Swift","the 1","folklore",0.777,"And if my wishes came true"
"Taylor Swift","the 1","folklore",0.777,"It would've been you"
"Taylor Swift","the 1","folklore",0.777,"In my defense, I have none"
"Taylor Swift","the 1","folklore",0.777,"For never leaving well enough alone"
"Taylor Swift","the 1","folklore",0.777,"But it would've been fun"
"Taylor Swift","the 1","folklore",0.777,"If you would've been the one"
"Taylor Swift","the 1","folklore",0.777,"I, I, I persist and resist the temptation to ask you"
"Taylor Swift","the 1","folklore",0.777,"If one thing had been different"
"Taylor Swift","the 1","folklore",0.777,"Would everything be different today?"
"Taylor Swift","the 1","folklore",0.777,"We were something, don't you think so?"
"Taylor Swift","the 1","folklore",0.777,"Rosé flowing with your chosen family"
"Taylor Swift","the 1","folklore",0.777,"And it would've been sweet"
"Taylor Swift","the 1","folklore",0.777,"If it could've been me"
"Taylor Swift","the 1","folklore",0.777,"In my defense, I have none"
"Taylor Swift","the 1","folklore",0.777,"For digging up the grave another time"
"Taylor Swift","the 1","folklore",0.777,"But it would've been fun"
"Taylor Swift","the 1","folklore",0.777,"If you would've been the one"
"Taylor Swift","the 1","folklore",0.777,"(Ooh)"
"Taylor Swift","cardigan","folklore",0.613,"Vintage tee, brand new phone"
"Taylor Swift","cardigan","folklore",0.613,"High heels on cobblestones"
"Taylor Swift","cardigan","folklore",0.613,"When you are young, they assume you know nothing"
"Taylor Swift","cardigan","folklore",0.613,"Sequin smile, black lipstick"
"Taylor Swift","cardigan","folklore",0.613,"Sensual politics"
"Taylor Swift","cardigan","folklore",0.613,"When you are young, they assume you know nothing"
"Taylor Swift","cardigan","folklore",0.613,"But I knew you"
"Taylor Swift","cardigan","folklore",0.613,"Dancin' in your Levi'sDrunk under a streetlight, I"
"Taylor Swift","cardigan","folklore",0.613,"I knew you"
"Taylor Swift","cardigan","folklore",0.613,"Hand under my sweatshirt"
"Taylor Swift","cardigan","folklore",0.613,"Baby, kiss it better, I"
"Taylor Swift","cardigan","folklore",0.613,"And when I felt like I was an old cardigan"
"Taylor Swift","cardigan","folklore",0.613,"Under someone's bed"
"Taylor Swift","cardigan","folklore",0.613,"You put me on and said I was your favorite"
"Taylor Swift","cardigan","folklore",0.613,"A friend to all is a friend to none"
"Taylor Swift","cardigan","folklore",0.613,"Chase two girls, lose the one"
"Taylor Swift","cardigan","folklore",0.613,"When you are young, they assume you know nothing"
"Taylor Swift","cardigan","folklore",0.613,"But I knew you"
"Taylor Swift","cardigan","folklore",0.613,"Playing hide-and-seek and"
"Taylor Swift","cardigan","folklore",0.613,"Giving me your weekends, I"
"Taylor Swift","cardigan","folklore",0.613,"I knew you"
"Taylor Swift","cardigan","folklore",0.613,"Your heartbeat on the High Line"
