"artist_name","track_name","album_name","danceability","track_number","lyric"
"Taylor Swift","the 1","folklore",0.777,1,"I'm doing good, I'm on some new shit"
"Taylor Swift","the 1","folklore",0.777,1,"Been saying ""yes"" instead of ""no""I thought I saw you at the bus stop, I didn't though"
"Taylor Swift","the 1","folklore",0.777,1,"I hit the ground running each night"
"Taylor Swift","the 1","folklore",0.777,1,"I hit the Sunday matinée"
"Taylor Swift","the 1","folklore",0.777,1,"You know the greatest films of all time were never made"
"Taylor Swift","the 1","folklore",0.777,1,"I guess you never know, never know"
"Taylor Swift","the 1","folklore",0.777,1,"And if you wanted me, you really should've showed"
"Taylor Swift","the 1","folklore",0.777,1,"And if you never bleed, you're never gonna grow"
"Taylor Swift","the 1","folklore",0.777,1,"And it's alright now"
"Taylor Swift","the 1","folklore",0.777,1,"But we were something, don't you think so?"
"Taylor Swift","the 1","folklore",0.777,1,"Roaring twenties, tossing pennies in the pool"
"Taylor Swift","the 1","folklore",0.777,1,"And if my wishes came true"
"Taylor Swift","the 1","folklore",0.777,1,"It would've been you"
"Taylor Swift","the 1","folklore",0.777,1,"In my defense, I have none"
"Taylor Swift","the 1","folklore",0.777,1,"For never leaving well enough alone"
"Taylor Swift","the 1","folklore",0.777,1,"But it would've been fun"
"Taylor Swift","the 1","folklore",0.777,1,"If you would've been the one"
"Taylor Swift","the 1","folklore",0.777,1,"(Ooh)"
"Taylor Swift","the 1","folklore",0.777,1,"I have this dream you're doing cool shit"
"Taylor Swift","the 1","folklore",0.777,1,"Having adventures on your own"
"Taylor Swift","the 1","folklore",0.777,1,"You meet some woman on the internet and take her home"
"Taylor Swift","the 1","folklore",0.777,1,"We never painted by the numbers, baby"
"Taylor Swift","the 1","folklore",0.777,1,"But we were making it count"
"Taylor Swift","the 1","folklore",0.777,1,"You know the greatest loves of all time are over now"
"Taylor Swift","the 1","folklore",0.777,1,"I guess you never know, never know"
"Taylor Swift","the 1","folklore",0.777,1,"And it's another day waking up alone"
"Taylor Swift","the 1","folklore",0.777,1,"But we were something, don't you think so?"
"Taylor Swift","the 1","folklore",0.777,1,"Roaring twenties, tossing pennies in the pool"
"Taylor Swift","the 1","folklore",0.777,1,"And if my wishes came true"
"Taylor Swift","the 1","folklore",0.777,1,"It would've been you"
"Taylor Swift","the 1","folklore",0.777,1,"In my defense, I have none"
